state,income,numUni,starbucks,population,crime
AK,73355,35,48,739795,289
AL,44765,129,84,4874747,386
AR,41995,108,54,3004279,335
AZ,51492,155,479,7016270,353
CA,64500,1246,2782,39536653,416
CO,63909,171,477,5607154,182
CT,71346,114,118,3588184,181
DC,75628,33,91,693972,1217
DE,61255,23,24,961939,524
FL,49426,439,671,20984400,413
GA,51244,210,318,10429379,296
HI,73486,43,98,1427538,203
IA,54736,107,87,3145711,169
ID,48275,33,66,1716943,157
IL,59588,391,562,12802023,243
IN,50532,175,215,6666818,139
KS,53906,99,93,2913123,237
KY,45215,165,114,4454189,99
LA,45727,173,82,4684333,398
MA,70628,261,262,6859819,392
MD,75847,148,252,6052177,378
ME,51494,60,29,1335907,116
MI,51084,302,272,9962311,244
MN,63488,169,175,5576606,134
MO,50238,242,181,6113532,270
MS,40593,69,32,2984100,146
MT,49509,54,36,1050493,183
NC,47830,188,330,10273419,269
ND,60557,30,13,755393,94
NE,54996,68,56,1920076,62
NH,70303,43,26,1342795,160
NJ,72222,207,249,9005644,271
NM,45382,61,75,2088070,427
NV,52431,77,249,2998039,435
NY,60850,632,627,19849399,212
OH,51075,386,366,11658609,138
OK,48568,158,77,3930864,254
OR,54148,125,356,4142776,167
PA,55702,544,348,12805537,222
RI,58073,37,26,1059639,158
SC,47238,97,129,5024369,581
SD,53017,33,24,869666,99
TN,47275,191,175,6715984,401
TX,55653,506,1024,28304596,255
UT,62912,60,97,3101833,145
VA,66262,222,421,8470020,173
VT,56990,32,7,623657,119
WA,64129,164,747,7405743,205
WI,55638,132,140,5795483,143
WV,42019,99,24,1815857,253
WY,60214,17,23,579315,155
